ID,Dt_Customer,Year_Birth,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumStorePurchases,NumWebVisitsMonth,Education_2n Cycle,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Marital_Status_Absurd,Marital_Status_Alone,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow,Marital_Status_YOLO,Kidhome_0,Kidhome_1,Kidhome_2,Teenhome_0,Teenhome_1,Teenhome_2,AcceptedCmp3_0,AcceptedCmp3_1,AcceptedCmp4_0,AcceptedCmp4_1,AcceptedCmp5_0,AcceptedCmp5_1,AcceptedCmp1_0,AcceptedCmp1_1,AcceptedCmp2_0,AcceptedCmp2_1,Complain_0,Complain_1,Z_CostContact_3,Z_Revenue_11,Response_0,Response_1
5524,04/09/2012,0.621359223,0.084832224,0.585858586,0.425318151,0.442211055,0.316521739,0.664092664,0.33460076,0.243093923,0.2,0.296296296,0.307692308,0.35,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1
2174,08/03/2014,0.59223301,0.067095179,0.383838384,0.007367716,0.005025126,0.003478261,0.007722008,0.003802281,0.016574586,0.133333333,0.037037037,0.153846154,0.25,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0
4141,21/08/2013,0.699029126,0.105097333,0.262626263,0.285331547,0.246231156,0.073623188,0.428571429,0.079847909,0.116022099,0.066666667,0.296296296,0.769230769,0.2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0
6182,10/02/2014,0.883495146,0.037471275,0.262626263,0.007367716,0.020100503,0.011594203,0.038610039,0.011406844,0.013812155,0.133333333,0.074074074,0.307692308,0.3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0
5324,19/01/2014,0.854368932,0.08506533,0.949494949,0.115874079,0.216080402,0.068405797,0.177606178,0.102661597,0.041436464,0.333333333,0.185185185,0.461538462,0.25,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0
7446,09/09/2013,0.718446602,0.091411805,0.161616162,0.348292029,0.211055276,0.056811594,0,0.159695817,0.038674033,0.133333333,0.222222222,0.769230769,0.3,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0
965,13/11/2012,0.757281553,0.081067952,0.343434343,0.157401206,0.326633166,0.095072464,0.193050193,0.186311787,0.074585635,0.266666667,0.259259259,0.538461538,0.3,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0
6177,08/05/2013,0.893203883,0.047709855,0.323232323,0.05090422,0.050251256,0.032463768,0.011583012,0.003802281,0.063535912,0.133333333,0.148148148,0.307692308,0.4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0
4855,06/06/2013,0.786407767,0.04304324,0.191919192,0.009377093,0,0.013913043,0.011583012,0.011406844,0.005524862,0.066666667,0.111111111,0.153846154,0.45,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1
5899,13/03/2014,0.553398058,0.005892296,0.686868687,0.018754186,0,0.003478261,0.003861004,0.003802281,0.035911602,0.066666667,0.037037037,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0
1994,15/11/2013,0.873786408,,0.111111111,0.003348962,0.025125628,0.003478261,0,0.007604563,0.002762431,0.066666667,0.037037037,0.153846154,0.35,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0
387,13/11/2012,0.805825243,0.008677527,0.595959596,0.004018754,0.08040201,0.006376812,0.042471042,0.003802281,0.044198895,0.066666667,0.074074074,0.230769231,0.4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0
2125,15/11/2013,0.640776699,0.092193835,0.828282828,0.129939719,0.306532663,0.27826087,0.868725869,0.425855513,0.082872928,0.066666667,0.111111111,0.615384615,0.1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0
8180,15/11/2013,0.572815534,0.086660972,0.535353535,0.156061621,0.010050251,0.030724638,0.011583012,0.019011407,0.038674033,0.2,0.222222222,0.384615385,0.3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0
2569,10/10/2012,0.912621359,0.023450377,0.383838384,0.002009377,0.070351759,0.009855072,0.023166023,0.003802281,0.013812155,0.066666667,0.037037037,0.230769231,0.4,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0
2114,24/11/2012,0.514563107,0.121921508,0.232323232,0.673811119,0.110552764,0.066666667,0.227799228,0.258555133,0.124309392,0.066666667,0.259259259,0.923076923,0.15,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,1,0,1
9736,24/12/2012,0.844660194,0.060336634,0.515151515,0.035498995,0.025125628,0.011014493,0.007722008,0.049429658,0.011049724,0.2,0.111111111,0.230769231,0.4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0
4939,31/08/2012,0.514563107,0.054185666,0.202020202,0.056262559,0.025125628,0.022028986,0.579150579,0.045627376,0.077348066,0.133333333,0.148148148,0.461538462,0.35,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0
6565,28/03/2013,0.54368932,0.113191345,0.919191919,0.677829873,0.40201005,0.288695652,0,0.060836502,0.486187845,0.133333333,0.407407407,0.692307692,0.25,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,1,0
2278,03/11/2012,0.893203883,0.048248252,0.868686869,0.002679169,0.085427136,0.011014493,0.115830116,0.091254753,0.107734807,0.133333333,0.074074074,0.230769231,0.3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0
9360,08/08/2012,0.86407767,0.053102855,0.414141414,0.057602143,0.010050251,0.042318841,0.266409266,0.144486692,0.132596685,0.066666667,0.148148148,0.384615385,0.4,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0
5376,06/01/2013,0.834951456,0.001078299,0.424242424,0.000669792,0.005025126,1,0.003861004,0.003802281,0.002762431,1,0,0,0.05,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0
1993,23/12/2012,0.54368932,0.085537555,0.636363636,0.58070998,0,0.049855072,0,0,0.052486188,0.2,0.074074074,0.692307692,0.4,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,1,1,0
4047,11/01/2014,0.59223301,0.09563928,0,0.257200268,0,0.059130435,0.081081081,0.121673004,0.013812155,0.2,0.222222222,0.692307692,0.2,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0
